user,timestamp,steps,active_minutes,heart_rate,sleep_hours
PyCharm,2026-02-26 19:48:47.764189,301,1,67.8,6.98
PyCharm,2026-02-26 19:48:52.766006,301,0,71.7,7.39
PyCharm,2026-02-26 19:48:57.768152,306,0,75.7,7.15
PyCharm,2026-02-26 19:49:02.770184,322,1,77.0,6.72
PyCharm,2026-02-26 19:49:07.772277,327,0,72.6,7.11
PyCharm,2026-02-26 19:49:12.774491,335,0,78.5,7.17
PyCharm,2026-02-26 19:49:17.776487,353,1,67.3,7.22
PyCharm,2026-02-26 19:49:22.778668,359,0,65.4,7.31
PyCharm,2026-02-26 19:49:27.780666,376,1,75.8,7.17
PyCharm,2026-02-26 19:49:32.782827,393,1,68.2,7.11
PyCharm,2026-02-26 19:49:37.785121,408,1,76.8,7.51
PyCharm,2026-02-26 19:49:42.787499,409,1,70.3,7.1
PyCharm,2026-02-26 19:49:47.789415,417,0,74.1,7.09
PyCharm,2026-02-26 19:49:52.791673,436,1,73.1,7.24
PyCharm,2026-02-26 19:49:57.793655,446,1,73.3,7.22
PyCharm,2026-02-26 19:50:02.795777,448,0,65.1,6.78
PyCharm,2026-02-26 19:50:07.797683,449,0,64.0,7.13
PyCharm,2026-02-26 19:50:12.799501,449,0,63.3,6.99
PyCharm,2026-02-26 19:50:17.801520,456,1,74.1,7.38
PyCharm,2026-02-26 19:50:22.803829,467,0,63.4,7.14
PyCharm,2026-02-26 19:50:27.805917,472,1,74.6,6.99
PyCharm,2026-02-26 19:50:32.807834,473,0,76.8,7.23
PyCharm,2026-02-26 19:50:37.809737,473,0,65.2,7.2
PyCharm,2026-02-26 19:50:42.812482,475,1,61.1,6.95
PyCharm,2026-02-26 19:50:47.814434,480,0,72.4,6.99
PyCharm,2026-02-26 19:50:52.816393,482,1,68.9,6.9
PyCharm,2026-02-26 19:50:57.818233,482,0,71.1,6.75
PyCharm,2026-02-26 19:51:02.820306,484,0,71.2,6.84
PyCharm,2026-02-26 19:51:07.822427,485,0,64.9,6.76
PyCharm,2026-02-26 19:51:12.824610,492,0,65.2,7.28
PyCharm,2026-02-26 19:51:17.826552,501,1,71.5,7.05
PyCharm,2026-02-26 19:51:22.828481,513,0,67.2,6.97
PyCharm,2026-02-26 19:51:27.830724,531,0,66.1,6.95
PyCharm,2026-02-26 19:51:32.832872,549,0,61.1,7.07
PyCharm,2026-02-26 19:51:37.835094,565,0,67.6,7.22
PyCharm,2026-02-26 19:51:42.837764,569,0,66.4,7.14
PyCharm,2026-02-26 19:51:47.839740,573,0,68.0,7.09
PyCharm,2026-02-26 19:51:52.842104,587,0,69.5,6.9
PyCharm,2026-02-26 19:51:57.843961,605,0,66.1,7.33
PyCharm,2026-02-26 19:52:02.846242,605,0,68.4,6.96
PyCharm,2026-02-26 19:52:07.848602,612,1,71.4,7.45
PyCharm,2026-02-26 19:52:12.850462,616,0,62.4,6.9
PyCharm,2026-02-26 19:52:17.852604,631,0,68.3,6.84
PyCharm,2026-02-26 19:52:22.854475,635,0,73.5,7.12
PyCharm,2026-02-26 19:52:27.856319,638,0,60.0,6.74
PyCharm,2026-02-26 19:52:32.858081,647,1,68.4,7.1
PyCharm,2026-02-26 19:52:37.860134,656,0,75.8,7.0
PyCharm,2026-02-26 19:52:42.862148,660,0,72.8,7.03
PyCharm,2026-02-26 19:52:47.863935,661,0,73.2,7.03
PyCharm,2026-02-26 19:52:52.866122,672,0,66.9,7.42
PyCharm,2026-02-26 19:52:57.868074,690,1,75.7,7.09
PyCharm,2026-02-26 19:53:02.870024,697,1,71.4,6.88
PyCharm,2026-02-26 19:53:07.872240,713,0,77.8,6.8
PyCharm,2026-02-26 19:53:12.874143,714,0,79.8,6.99
PyCharm,2026-02-26 19:53:17.876393,731,0,71.8,7.12
PyCharm,2026-02-26 19:53:22.878321,734,0,73.7,7.12
PyCharm,2026-02-26 19:53:27.880593,750,1,68.2,6.89
PyCharm,2026-02-26 19:53:32.882666,754,0,75.7,7.17
PyCharm,2026-02-26 19:53:37.884493,756,0,70.1,7.19
PyCharm,2026-02-26 19:53:42.886278,771,0,67.1,6.94
PyCharm,2026-02-26 19:53:47.888090,774,0,71.6,6.97
PyCharm,2026-02-26 19:53:52.890366,793,0,65.9,7.42
PyCharm,2026-02-26 19:53:57.892639,795,0,62.8,7.05
PyCharm,2026-02-26 19:54:02.894831,810,1,69.9,6.82
PyCharm,2026-02-26 19:54:07.897028,816,1,79.1,7.08
PyCharm,2026-02-26 19:54:12.898980,830,0,73.1,7.27
PyCharm,2026-02-26 19:54:17.900659,835,0,67.8,7.04
PyCharm,2026-02-26 19:54:22.902800,852,1,70.2,6.76
PyCharm,2026-02-26 19:54:27.904996,857,1,62.8,6.72
PyCharm,2026-02-26 19:54:32.907220,876,0,70.9,7.17
PyCharm,2026-02-26 19:54:37.909727,879,0,59.8,7.31
PyCharm,2026-02-26 19:54:42.911619,897,0,68.5,7.0
PyCharm,2026-02-26 19:54:47.913672,916,0,71.6,6.83
PyCharm,2026-02-26 19:54:52.915629,916,0,67.3,6.72
PyCharm,2026-02-26 19:54:57.917855,932,0,57.2,7.23
PyCharm,2026-02-26 19:55:02.919802,943,1,60.5,7.12
PyCharm,2026-02-26 19:55:07.921848,958,0,72.4,7.01
PyCharm,2026-02-26 19:55:12.923839,975,0,66.5,6.81
PyCharm,2026-02-26 19:55:17.926300,975,0,74.4,7.04
PyCharm,2026-02-26 19:55:22.928415,985,0,80.9,6.84
PyCharm,2026-02-26 19:55:27.930329,992,0,64.0,7.32
PyCharm,2026-02-26 19:55:32.932343,1009,0,63.4,6.85
PyCharm,2026-02-26 19:55:37.934507,1025,0,78.6,6.7
PyCharm,2026-02-26 19:55:42.936378,1040,0,63.4,7.37
PyCharm,2026-02-26 19:55:47.938222,1057,0,68.5,6.77
PyCharm,2026-02-26 19:55:52.940164,1057,0,66.9,7.29
PyCharm,2026-02-26 19:55:57.942399,1073,1,57.7,6.82
PyCharm,2026-02-26 19:56:02.944284,1073,0,71.1,6.9
PyCharm,2026-02-26 19:56:07.946244,1077,1,70.0,7.01
PyCharm,2026-02-26 19:56:12.948432,1081,1,66.8,7.27
PyCharm,2026-02-26 19:56:17.950574,1094,0,65.8,6.81
PyCharm,2026-02-26 19:56:22.952727,1097,0,75.3,7.31
PyCharm,2026-02-26 19:56:27.954792,1104,0,52.6,6.95
PyCharm,2026-02-26 19:56:32.957109,1106,0,70.8,7.23
PyCharm,2026-02-26 19:56:37.959374,1110,0,72.1,7.27
PyCharm,2026-02-26 19:56:42.961843,1124,0,73.0,7.24
PyCharm,2026-02-26 19:56:47.964132,1134,0,75.3,6.65
PyCharm,2026-02-26 19:56:52.966501,1148,0,68.7,7.14
PyCharm,2026-02-26 19:56:57.968680,1153,0,68.7,7.11
PyCharm,2026-02-26 19:57:02.970795,1162,1,69.9,7.16
PyCharm,2026-02-26 19:57:07.972725,1181,0,70.0,7.08
PyCharm,2026-02-26 19:57:12.974893,1193,0,60.9,7.18
PyCharm,2026-02-26 19:57:17.976975,1207,0,71.8,6.81
PyCharm,2026-02-26 19:57:22.979003,1214,0,75.0,6.95
PyCharm,2026-02-26 19:57:27.981262,1231,0,73.1,6.89
PyCharm,2026-02-26 19:57:32.983343,1248,0,69.5,6.79
PyCharm,2026-02-26 19:57:37.985440,1261,0,79.8,7.01
PyCharm,2026-02-26 19:57:42.987428,1269,0,79.8,6.96
PyCharm,2026-02-26 19:57:47.989424,1279,1,69.4,6.96
PyCharm,2026-02-26 19:57:52.991465,1279,0,70.9,7.01
PyCharm,2026-02-26 19:57:57.993230,1293,0,81.9,6.94
PyCharm,2026-02-26 19:58:02.995445,1306,0,74.3,6.8
PyCharm,2026-02-26 19:58:07.997320,1320,1,68.2,7.18
PyCharm,2026-02-26 19:58:12.999487,1338,0,66.2,6.72
PyCharm,2026-02-26 19:58:18.001758,1347,0,62.2,7.04
PyCharm,2026-02-26 19:58:23.003731,1359,0,75.3,7.13
PyCharm,2026-02-26 19:58:28.005945,1371,0,77.8,7.11
PyCharm,2026-02-26 19:58:33.007800,1385,1,64.8,6.96
PyCharm,2026-02-26 19:58:38.010090,1393,0,71.1,7.17
PyCharm,2026-02-26 19:58:43.013627,1405,0,66.9,6.75
PyCharm,2026-02-26 19:58:48.016377,1420,0,67.0,6.83
PyCharm,2026-02-26 19:58:53.018458,1428,0,57.5,7.14
PyCharm,2026-02-26 19:58:58.020654,1431,1,70.9,7.18
PyCharm,2026-02-26 19:59:03.023046,1441,1,67.1,7.15
PyCharm,2026-02-26 19:59:08.025322,1446,0,70.5,7.15
PyCharm,2026-02-26 19:59:13.027430,1453,0,67.8,7.1
PyCharm,2026-02-26 19:59:18.029425,1456,0,61.9,7.01
PyCharm,2026-02-26 19:59:23.031497,1470,1,68.9,7.03
PyCharm,2026-02-26 19:59:28.033883,1480,1,74.4,6.66
PyCharm,2026-02-26 19:59:33.035833,1485,0,67.0,7.15
PyCharm,2026-02-26 19:59:38.037959,1489,0,69.6,6.8
PyCharm,2026-02-26 19:59:43.040240,1494,0,72.9,6.96
PyCharm,2026-02-26 19:59:48.057753,1505,0,67.5,6.75
